id,level,set,question,choice_1,choice_2,choice_3,choice_4,answer_index,explanation,tag,image
1,4,1,吉野ケ里遺跡は何時代のものか？,縄文時代,弥生時代,奈良時代,平安時代,1,,過去問,
2,4,1,次のうち、世界遺産に登録されている城は？,松本城,犬山城,姫路城,江戸城,2,,過去問,
3,4,1,次のうち、山城はどれか？,山形城,広島城,岩村城,小田原城,2,,過去問,
4,4,1,「偕楽園」がある城はどれか？,名古屋城,水戸城,和歌山城,岡山城,1,,過去問,
5,4,1,城郭用語の「狭間」の説明で間違いはどれか？,天守や櫓の壁に開けられた穴,矢を放ち鉄砲を撃つためのもの,穴の形は丸や三角がある,石を落とすためのもの,3,,過去問,
6,4,1,「舞鶴城」とも呼ばれる伊達政宗が生まれた城は？,米沢城,山形城,二本松城,会津若松城,0,,過去問,
7,4,1,日本で一番巨大な敷地を誇る城はどれか？,大阪城,名古屋城,江戸城,姫路城,2,,過去問,
8,4,1,城郭と所在地の組み合わせで間違いはどれか？,松山城 ー 愛媛県,平戸城 ー 佐賀県,萩城 ー 山口県,高松城 ー 香川県,1,,過去問,
9,4,1,城郭用語で城の出入り口や曲輪の出入り口のことをなんというか？,武者口,城口,虎口,殿口,2,,過去問,
10,4,1,東北地方唯一の現存天守を持つ城はどれか？,山形城,弘前城,会津若松城,二本松城,1,,過去問,
11,4,2,城と築城者の組み合わせで間違っているものはどれか,名古屋城 ー 豊臣秀吉,今治城 ー 藤堂高虎,仙台城 ー 伊達政宗,高知城 ー 山内一豊,0,,過去問,
12,4,2,徳川家の譜代大名だった井伊氏が代々城主だった城はどれか,松本城,彦根城,犬山城,篠山城,1,,過去問,
13,4,2,次のうち、織田信長が築いた城はどれか,観音寺城,岐阜城,甲府城,小谷城,2,,過去問,
14,4,2,仙台城の別名はどれか,広瀬城,松島城,米沢城,青葉城,3,,過去問,
15,4,2,現存12天守のうち、最も標高の高い場所にあるのはどれか,備中松山城,丸亀城,松山城,犬山城,0,,過去問,
16,4,2,雲海に浮かぶ天空の城として二季のある兵庫県の山城はどれか,岡城,竹田城,高取城,鬼ノ城,1,,過去問,
17,4,2,「忠臣蔵」でおなじみの大石内蔵助が筆頭家老であった城はどれか,岡山城,米沢城,名古屋城,赤穂城,3,,過去問,
18,4,2,戊辰戦争で最大の攻城戦が行われた城はどれか,仙台城,米沢城,会津若松城,大阪城,2,,過去問,
19,4,2,木曽川沿いの丘陵にたつ国宝の天守を持つ城はどれか,清洲城,犬山城,岐阜城,小牧山城,1,,過去問,
20,4,2,日本海側で唯一の現存天守を持つ城はどれか,月山富田城,鳥取城,萩城,松江城,3,,過去問,
21,4,3,織田信長が築城した安土城には、城では初めてとされる五重六階地下一階の豪壮な建造物を建てたが、信長はこの建物を何と呼んだか,天守,主殿,天主,天守閣,2,「天主」は信長の命名とされ、基本的には安土城のみ「天主」を使う。,過去問,
22,4,3,櫓の中で写真のような長い櫓を何と言うか,多門櫓,連続櫓,戦国櫓,槍櫓,0,,過去問,
23,4,3,次のうち、天守がない城はどれか,高知城,弘前城,彦根城,山中城,3,,過去問,
24,4,3,別名「玉藻城」と呼ばれる城はどれか,熊本城,岡山城,高松城,名古屋城,2,,過去問,
25,4,3,出世城と呼ばれることがある徳川家康ゆかりの城はどれか,二条城,名古屋城,浜松城,駿府城,2,,過去問,
26,4,3,豊臣秀吉が天下統一の総仕上げとして最後に落城させた城はどれか,郡山城,江戸城,春日山城,小田原城,3,,過去問,
27,4,3,写真の矢印のような窓を何と言うか,華頭窓,武者窓,格子窓,隠し窓,0,,過去問,
28,4,3,ヤマト政権が東北地方の拠点として築いた多賀城は何県にあるか,秋田県,宮城県,山形県,岩手県,1,,過去問,
29,4,3,写真の御殿は国宝の二の丸御殿だが、どの城にあるか,川越城,掛川城,二条城,江戸城,2,,過去問,
30,4,3,「チャシ」とはどの地域で作られた城のことか,沖縄県,長崎県,新潟県,北海道,3,,過去問,
31,4,4,総高約60mのに日本一高い石垣があるのはどの城か,丸亀城,岡城,伊賀上野城,熊本城,0,,過去問,
32,4,4,大阪城最大の巨石はどれか,蛇石,蛸石,畳石,瓦石,1,,過去問,
33,4,4,北陸の城で、古風な外観に安土・桃山の雰囲気を残す現存の天守があるのはどれか,七尾城,富山城,金沢城,丸岡城,3,,過去問,
34,4,4,日本で最後に築城された日本式城郭と言われている北海道にある城はどれか,志苔館,松前城,弘前城,五稜郭,1,,過去問,
35,4,4,城下町より城が低地にある穴城よ呼ばれる縄張の城はどれか,小諸城,鬼ノ城,箕輪城,春日山城,0,,過去問,
36,4,4,大阪冬の陣で大阪城平野口の南に出丸を築き、豊臣方として活躍した武将は誰か,後藤又兵衛,毛利輝元,大谷吉継,真田信繁,3,,過去問,
37,4,4,信長の妹・お市が嫁いだ浅井長政の居城はどれか,小谷城,長浜城,安土城,岐阜城,0,,過去問,
